,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,market_cap
AOX,0.0,-0.006684278716525216,0.09188547084694054,0.1221124065183743,0.060766221791438424,-0.004558877513533122,-0.10898311354491708,-0.06672752173511143,-0.005301043259340221,-0.07204671476813274,0.09109760333074268,0.05207519239160474,-0.006970934363581427,-0.0020924629531308137,-0.02242579440778436,0.03617379753525585,0.043304652322213366,0.016259061352934312,0.010285460461717966,2.7204717298001668e-05,0.1959607542241728,0.0437842552162544,-0.032951265580652866,0.018023083191721856,-0.03764174832103928,0.02565080481861548,0.03399262787756219,-0.07105493031108201,-0.007142909888421922,0.056943217103792465,0.005307678291758711,0.022309883137674458,0.0019059959503711088,0.01511023371570186,0.025838429680185904,-0.036911630717153865,0.053192745127449204,0.07049958388528044,0.05243681131073297,0.1125331255886004,-0.004372970377410579,-0.1854900910318663,-0.05806462234327314,0.026472646871079863,0.08634096244131473,0.05411922566704197,0.142934728293173,0.07282257597103836,-0.08514686849120179,-0.21489343508362557,-0.19627548135894723,-0.2545892693883133,-0.04925503943908871,-0.2588603707644529,-0.138574218311598,-0.24104185851144588,Small-Cap
ACT,0.0,0.0,0.0,0.0,-0.4722222222222213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01752583458685464,-0.17477017588117427,0.028141565184624184,0.06465568954953693,-0.1718945331686068,-0.13186750683551285,-0.010553015448117042,0.0008543696462873784,0.07388866242852465,-0.07876669125067937,-0.06252156165646194,0.18341580214023923,-0.07266885973709902,0.1922116032834993,0.05033348211986444,-0.011635209086618192,-0.0612899896011746,-0.009878368389221182,-0.07693036945107012,-0.13942608034331927,-0.09109879867439952,0.1266432383183651,0.016218472363007663,0.03893159133433732,0.022555732793837047,Micro-Cap
AAD,0.0,0.15107667143359715,0.1624740869307919,0.1777829971904803,0.20809052253074967,-0.055965479198582635,-0.11079654500576686,-0.030670813072023795,0.16651274220324708,0.11563042674570623,-0.009455628605093636,0.04886598643114959,0.1251468365315993,0.12622312924098011,0.004605591776644324,0.07696137664854663,0.24369057761668667,-0.016446205361785426,-0.09797602266980199,0.04639327294473672,0.17786300542015976,0.13225132050019583,0.09538381699800924,-0.09392264245821957,-0.13403984170995575,-0.03317187881749328,0.004075339478093021,0.11168685834974212,0.057758641521566734,0.05326110976665066,-0.03482512369625024,0.012741786036034819,0.09246862011691936,0.12623282979065298,0.004855262337014166,-0.017725184701977814,-0.031223789501301558,0.274631357070082,-0.05072807201815821,0.04675956599004971,0.14701529310002526,-0.2994173401007697,0.1546914352631663,0.011189131019639698,0.1278351722321398,0.20278542531810673,0.15084818723892734,0.07671918617135498,-0.14699732638650842,-0.16211040214978245,-0.17742508764042964,-0.001968170061200647,0.1761546550190083,-0.0073956282497854575,-0.13476398601398598,0.017573954388862,Micro-Cap
ART,0.0,0.06957496620173464,0.03217236353264141,-0.02958721034917533,0.06707898073214391,0.05743602553508298,-0.19687482663370703,-0.12886446325739565,-0.07326546530070432,0.2819180438240376,0.13949368534734718,-0.27844610598870867,-0.21197600781790626,-0.032989562959011565,-0.14598001477394718,-0.0660046812849121,0.15148147814972068,0.112822627188226,0.005882978062909938,0.0045681334860134815,-0.11208844425876374,-0.31202783567063463,0.008094727136755742,0.09165407285749749,-0.0034828691250204935,0.3902593965060879,-0.10580793318012593,-0.04734492376978838,0.11859578081919242,0.2410917807896067,0.044465798553083635,0.21089632193866703,-0.04402998503729183,-0.156903639994171,-0.02824958391658472,-0.03317705891545575,0.03823332232661936,0.11639723447552353,-0.05111880214412301,-0.0007189482001381808,0.08348848142924314,-0.0672053042202917,-0.0567871556227631,-0.010051569121654058,0.1320312090555844,0.10091374676373344,-0.06038382404599574,0.040763766875403507,-0.16903420363463229,-0.18185649458874098,0.13179002996339428,-0.1269174347234996,0.035024884878366525,0.1791019705725474,0.004321780388960361,-0.12404434720617508,Micro-Cap
AOF,0.0,0.11113960130948897,0.03563304038464632,0.07363541613167324,0.029993832895283568,0.005489988170239268,-0.002852037277959907,-0.01207676059702667,0.11425683234653294,0.11721680307319993,0.010393116555450277,-0.03186369770764064,0.26252890656385763,0.08208197756906532,-0.05638860013860003,0.04496279437009054,0.05258078640340047,0.015454643472295082,8.056633330255636e-06,0.04249027165150898,0.23499623536793846,0.1257174182917733,0.07147846899925114,0.2964866398073538,0.04894766126956096,0.02266407435508344,-0.0928759344332516,-0.04216703058560278,0.16877020507994178,0.0743673268094791,0.07351298641532122,0.009160101835214984,0.12099197928011907,0.054625736372993394,-0.04450740131464026,-0.07443595876602549,0.1554831644206851,0.30507987887647503,0.08275163180653733,0.05152889198930355,0.13442973120895152,0.05329728317134208,-0.2682657465086925,0.12289633715174664,0.30748470672903916,-0.0009579317906398543,0.052694111646076625,0.09936000183183724,-0.12878231664453643,-0.18782618149672725,-0.04217910240831202,-0.008579239400102745,0.1902920226264333,0.20841341292282944,0.11974074478120511,-0.056327193393879704,Micro-Cap
AAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13475980993814485,0.06076130807104008,0.12259935327698201,-0.13572193524439902,-0.11137977935620369,0.06502747252747265,-0.31334301989988955,-0.2569542731462551,-0.15285724424955394,-0.4262350050585345,-0.07765675536792038,-0.0381589995553846,-0.19018005867587096,0.16897702729236186,-0.07194783651165382,0.2878956861773172,-0.0739728984803506,0.23050665733850084,-0.10314923695570422,-0.009494778901406709,-0.03482346666244185,-0.049966972535474774,-0.13769213431260452,0.15211859092361935,0.13457655626402376,-0.06414010469832554,-0.06610223304053331,Small-Cap
NDA,0.0,0.11675402427376702,-0.09735441648355792,0.13533635710882286,0.015195991015450439,0.0326089765875186,-0.0029438086815615216,-0.007642379532518118,0.04010982005642583,-0.06711236422871525,0.0762844093985302,0.16396268040691986,0.10073526275554556,-0.1316096956112217,-0.08050552341890926,0.027371275965942354,-0.0736531444738815,-0.041128308480524844,-0.03396056614579057,0.11597209370386796,0.19741493800191368,0.09531673658104411,-0.004310998528501253,0.02615722173979318,-0.25701927507031297,0.06223394119552572,0.037416947772993536,0.08181542388144503,0.10907798378779798,0.19523768551465537,0.09065922483753863,-0.030256245236660484,0.06473335332992991,-0.05706254718909065,-0.10110311381932024,-0.20600304343432263,-0.0692020410678742,-0.08712280069333866,-0.06825038829484542,0.15054708766648162,0.0073484344820484715,0.0554647443037426,0.20316268538032167,0.04500687978359941,0.11034018084001107,0.10360747186782793,8.530094172254366e-05,0.02896532919090422,0.2944964847686693,-0.08373677318424022,-0.3205199387380525,0.11640159639994785,0.29511838874458185,-0.1156609695821641,-0.056477454349024625,-0.046789296706960526,Small-Cap
BNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10575400800896284,0.08111951337853962,0.567958388158293,0.23442690763134366,-0.02062589011821414,0.015712893587809473,0.18107743635937168,0.13776103484865643,-0.12143799657486187,-0.046089836793337446,-0.32247672938817085,-0.19089255933768123,-0.08613947458076665,-0.0945481745472232,0.11202234444142234,-0.11558478760769242,-0.09717137010490973,-0.02551274142721227,-0.036461729794065256,0.16468003742728143,0.043511880013385795,0.07122637060903392,-0.049616068632275745,-0.03778622865927672,-0.11445122504658323,-0.16735098710519314,-0.17309319222347552,0.13784537303045608,-0.20958078991296425,-0.11101792119932508,-0.08623764394170985,Micro-Cap
BAS,0.0,0.05813297464925582,-0.0075530199239609574,0.2518724061722064,0.043205550543094384,0.09977763321680766,-0.14413698698622057,-0.06920093355306867,0.21948075616278895,-0.055878477419227135,0.039406217456664505,0.09303515479591207,0.0888046650047345,-0.016305321803625872,-0.03834854299406909,0.09190913487523233,0.056985038981494984,0.046008785179958434,-0.050442844796187436,-0.10840990827894104,0.16622749363138012,0.06334666262844157,-0.1399020636370929,-0.023911053882154087,-0.14826996646672652,0.09482367390719304,0.04752771494236985,0.14229513756411882,0.09477277294880171,-0.01983578710528411,-0.05216743651054756,0.11792557874916176,-0.04394811210071503,-0.036887501589987215,-0.061709979337460585,-0.1708236810765983,-0.019992132898459802,0.005223802212122708,-0.07046428445243491,0.11409544545389405,-0.16614602082875296,-0.15464063611655077,0.0730728244883716,0.11351313585757494,0.1955306021272134,0.004965632660090202,-0.03759342461541071,-0.06446979701890865,6.823937361311039e-05,-0.2036962758405897,-0.1404217678162325,0.09751642440299313,0.08095438461383186,-0.06665204223579124,-0.023567863417312873,-0.08985400772662921,Large-Cap
BSL,0.0,0.019232023479536897,0.2982772464739205,0.21765560595179956,0.17872434508311774,0.08687439878803449,-0.13715407768381827,-0.0815606841577049,0.09414912366701511,-0.054539672686296004,-0.06758565510061021,0.14490200410869902,0.17088312805936523,0.2926649392005445,0.1761271808899718,0.28320163571969004,0.11803016347556472,0.14484418222063478,0.09565474587234335,-0.008706334813812888,0.15509367483820924,0.20196933165790032,-0.08952853105172798,-0.1532054126338298,0.18616090256636775,-0.0042917292737920665,0.0829408068915174,0.12515938227694412,0.08247393270315762,0.037053770644588924,-0.08199736749358044,0.11103139972148557,0.10416364768419117,-0.08525334339999324,-0.01710058742475884,-0.16287327703868137,-0.0057024265440652755,0.0035052192156377338,-0.7273451656083187,0.22496173865537084,0.010357337869623784,-0.011781016822674517,0.1856455787599356,0.04564022996259731,0.40267045155863945,0.25558559092233435,0.22114659071378595,0.16591883457769496,-0.22964690344016347,-0.16041955550112752,-0.6040621196896521,-0.23271228534588861,0.04816230900516061,-0.3405579738915194,-0.32203156700251023,-0.38008661591084625,Micro-Cap
